,utility,eiaid,name,label,enddate,demandrateunit,flatdemandunit,uri,sector,description,source,peakkwcapacitymax,peakkwcapacitymin,peakkwhuseagemax,peakkwhuseagemin,voltagecategory,phasewiring
5554,Nodak Electric Coop Inc,12301,GS Urban-Three Phase Short Term,539fc23aec4f024c27d8af59,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc23aec4f024c27d8af59,Residential,"Additional Meters (Off-Peak Included) $ 3.60/Meter/Month
Renewable Energy Market Adjustment $0.003/KWH (Added to All Above Energy Rates)
Controlled Water Heater Credit $.00736/KWH Applies to the first 1,000 KWHs each month (October-March)",http://www.nodakelectric.com/wp-content/uploads/2011/04/General-Service-Rate-Urban2.pdf,,,,,,3-Phase
5558,Tanana Power Co Inc,18474,"Rate Schedule 1 - Residential/Commercial(0-1,000kWh)",539fc23cec4f024c27d8afb5,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc23cec4f024c27d8afb5,Residential,"Applies to residential service in individual private dwelling, multi-unit dwellings, and apartments. Commercial Service of an average of under 1000kWhs per month.",http://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=0ae37006-4642-443f-a62a-5b80e6b570ca,,,,,,Single Phase
5562,Black Hills Power Inc (Wyoming),19545,Residential Service (R),557862295457a3c9128ba377,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/557862295457a3c9128ba377,Residential,,https://www.blackhillspower.com/sites/default/files/bhp_wy_rates_0.pdf,,,,,Secondary,Single Phase
5565,"City of Blountstown, Florida (Utility Company)",1876,Residential,539fc24bec4f024c27d8b003,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc24bec4f024c27d8b003,Residential,,Rates Binder B,,,,,,
5567,Thurmont Municipal Light Co,18901,RESIDENTIAL SERVICE,539fc24cec4f024c27d8b02b,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc24cec4f024c27d8b02b,Residential,"This schedule applies to residential service for general household use

*Electric Universal Service Program Surcharge $0.37 per Month",http://www.thurmont.com/20110415_Thurmont_Clean_Tariff_Rate_Schedules_after_June_1_2011.pdf,,,,,,
5569,"Tricounty Rural Elec Coop, Inc",19176,General Service (Rate 02),539fc24cec4f024c27d8b039,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc24cec4f024c27d8b039,Residential,,ISU documentation,,,,,Secondary,Single Phase
5570,"Town of Basin, Wyoming (Utility Company)",1779,Residential Service,55ef33a05457a3dd1e51fd7b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55ef33a05457a3dd1e51fd7b,Residential,"Service will be through a single meter, at one
point of delivery. Additional service at other points of
consumption will be metered and billed separately.",http://www.basinwyo.net/Ordinances.html,,,,,,Single Phase
5579,"Village of Oak Harbor, Ohio (Utility Company)",13932,Residential Service,539fc25dec4f024c27d8b0d9,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc25dec4f024c27d8b0d9,Residential,,ISU Documentation Rate Binder Ted #9,,,,,,
5581,"Barton Village, Inc (Utility Company)",1299,Residential Demand Service,539fc25eec4f024c27d8b107,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc25eec4f024c27d8b107,Residential,,Illinois State University Archive,,,,,,
5582,"City of Key West, Florida (Utility Company)",10226,Residential - Senior Citizen and/or Disabled Veteran (RS-111),539fc25eec4f024c27d8b111,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc25eec4f024c27d8b111,Residential,"Discount is established for any residential customer who is sixty-two (62) years or older or is a permanently disabled American veteran, and meets certain maximum annual income requirements established by KEYS.",http://www.keysenergy.com/books/billing-tariffs/files/billing-tariffs.pdf,,,,,,Single Phase
5583,French Broad Elec Member Corp,6784,Primary Residential Rate,539fc25eec4f024c27d8b115,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc25eec4f024c27d8b115,Residential,,http://www.frenchbroademc.com/rateschedule.cfm,,,,,Primary,
5584,"City of Milton-Freewater, Oregon (Utility Company)",12615,Residential (Outside City Limits),55c10a535457a31f3fe28f88,,kW,,http://en.openei.org/apps/USURDB/rate/view/55c10a535457a31f3fe28f88,Residential,"Fixed Monthly Charge is only applicable to an account inside of the City Limits. An account outside the City Limits will have a Fixed Monthly Charge of $11.00.

A Load Management Discount is applicable to customers whose equipment is controlled by the City load management system.",http://mfcity.com/sites/mfcity.com/files/File/electric/Electric%20rates%202015.pdf,,,,,,
5588,Egegik Light & Power Co,5553,Residential Rate,539fc260ec4f024c27d8b165,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc260ec4f024c27d8b165,Residential,,http://rca.alaska.gov/RCAWeb/Documents/Reports/2011electric.pdf,,,,,,
5589,"City of Hermiston, Oregon (Utility Company)",8515,Residential (R1) Single Phase,539fc270ec4f024c27d8b183,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc270ec4f024c27d8b183,Residential,,http://www.hermiston.or.us/node/25,,,,,,Single Phase
5594,Wisconsin Dells Electric Util,20844,Residential Service- Three Phase,55ba6fef5457a3b47d995e9a,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55ba6fef5457a3b47d995e9a,Residential,"Available to all residential single and three phase customers for ordinary domestic purposes. 

Additionally there is a power cost adjustment charge added to the energy charge, which varies monthly.",ISU Documentation,,,,,,
5595,Norris Public Power District,13664,"SCHEDULE 3 - TOWN, VILLAGE, AND COMMUNITY RESIDENTIAL",539fc271ec4f024c27d8b1db,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc271ec4f024c27d8b1db,Residential,summer is june 15th to oct 15th,"www.norrisppd.com/downloads/Schedule%203%20-%20Town,%20Village,%20and%20Community%20Residential%202013.pdf",,,,,Secondary,Single Phase
5596,Bamberg Board of Public Works,1170,Residential service rate,539fc271ec4f024c27d8b1df,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc271ec4f024c27d8b1df,Residential,,http://bambergsc.com/pw/rates2.htm,,,,,,
5598,Inter County Energy Coop Corp,9292,Residential Schedule 1 Farm and Home Service,539fc272ec4f024c27d8b1f1,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc272ec4f024c27d8b1f1,Residential,.,http://www.intercountyenergy.net/content/energy-ratesnet-meteringcurrent-psc-approved-rates,,,,,,
5599,"City of Quitman, Georgia (Utility Company)",15573,Residential Power,539fc272ec4f024c27d8b1f3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc272ec4f024c27d8b1f3,Residential,"For all domestic uses of a residential customer in a single dwelling unit or a  common facility dwelling with individually metered units.

Subject to Power Cost Adjustment(PCA) and Revenue Adjustment.",ISU Documentation,,,,,,Single and 3-Phase
5601,Slash Pine Elec Member Corp,17290,Residential Service (Rate 1),539fc272ec4f024c27d8b1f9,,,,http://en.openei.org/apps/USURDB/rate/view/539fc272ec4f024c27d8b1f9,Residential,,ISU Documentation,10,,,,,Single and 3-Phase
5603,"City of Fulton, Kentucky (Utility Company)",6840,Residential,539fc272ec4f024c27d8b227,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc272ec4f024c27d8b227,Residential,,ISU Documentation,,,,,,
5606,Merced Irrigation District,12312,SCHEDULE RES-2 RESIDENTIAL GENERAL SERVICE,539fc284ec4f024c27d8b255,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc284ec4f024c27d8b255,Residential,"APPLICABILITY:
This schedule is offered to single-phase and poly-phase residential service in single-family dwellings and apartments separately metered by Merced Irrigation District; to single-phase and poly-phase service in common areas in a multifamily complex; and to all single-phase and poly-phase farm service on the premises operated by the person whose residence is supplied through the same meter.",http://www.mercedid.org/index.cfm/power/energy-rulesfeesrates/electric-rates/,,,,,,
5607,"City of Moreno Valley,, California (Utility Company)",55787,Residential Single-Family Medical,539fc284ec4f024c27d8b259,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc284ec4f024c27d8b259,Residential,Minimum Charge = $10.00,http://www.moreno-valley.ca.us/resident_services/utilities/pdfs/MVU_Rates_0712.pdf,,,,,,
5608,"Town of North Attleborough, Massachusetts (Utility Company)",13679,RESIDENTIAL ASSISTANCE A5,539fc284ec4f024c27d8b25b,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc284ec4f024c27d8b25b,Residential,"This rate is available upon verification of a customer's receipt of any means tested public benefit, or verification of eligibility for the low income home energy assistance program, or its successor program, for which eligibility does not exceed 175 percent of the federal poverty level based upon a household's gross income. Customers must renew their eligibility annually by completing the application provided by North Attleborough Electric Department. 

A $4.50 discount applies to customers who have installed an electric water heater of an approved type. Customers who are engaged in the business of agriculture or farming as defined by MGL at their service location are eligible for a discount from their distribution rates. The discount will be calculated at 10% of the retail delivery service charge plus energy charges if applicable to the total service charge rendered to the customer.",http://www.naelectric.com/index.php/rates-billing/residential-rates,,,,,,
5609,Twin Valley Electric Coop Inc,18962,Farm and Residential,539fc285ec4f024c27d8b275,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc285ec4f024c27d8b275,Residential,"Applicable to consumers of the cooperative for general, residential and farm uses and public building, subject to the rules and regulations of the cooperative.",www.twinvalleyelectric.coop/documents/TV1012_rates_000.pdf,,,,,,
5610,"Empire Electric Assn, Inc",5862,Residential and Farm and Home: 1-Phase,539fc285ec4f024c27d8b28b,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc285ec4f024c27d8b28b,Residential,,http://www.eea.coop/rates.html,,,,,,
5611,"City of Hartley, Iowa (Utility Company)",8214,Residential Service,539fc285ec4f024c27d8b293,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc285ec4f024c27d8b293,Residential,"Available to any residential or rural residential customer for domestic purpose only in single, private residence. In town",http://www.hartleyiowa.com/index.php?pageid=747269746f7069635f69643a31,,,,,,
5617,"City of Riverside, California (Utility Company)",16088,Domestic TOU Tiered - Large Residence,539fc287ec4f024c27d8b2e3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc287ec4f024c27d8b2e3,Residential,"* Applicability: Large Residence (201- 400 Amp)
Applicable to qualified Single-Family Dwelling Units devoted primarily to domestic purposes where services include lighting, appliances, heating, cooking, power consuming appliances, and plug in electric vehicles. Eligible customers must sign an authorization/agreement form and exhibit exemplary utility payment history.",http://www.riversideca.gov/utilities/pdf/2013/Schedule_D-TOU-_Tiered-_effective_09-10-13.pdf,,,,,,
5618,"City of Brundidge, Alabama (Utility Company)",2423,Residential,539fc287ec4f024c27d8b2e5,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe0fec4f024c27d88231,Residential,"Applicable to single residences, mobile homes where such are individually metered, and individual family apartaments where cost of service is paid by the occupant.",www.brundidge.org/vertical/sites/%7B18AC22F3-9AFC-4CEA-8157-49C1BF20E362%7D/uploads/%7BE4D06463-89D0-40CE-BB83-D65164BC6D6D%7D.DOC,,,,,Secondary,Single Phase
5622,PUD No 1 of Mason County,22355,Residential Service,539fc29aec4f024c27d8b319,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc29aec4f024c27d8b319,Residential,,http://mason-pud1.org/wp-content/uploads/2013/12/RATESELECTRIC-2014.pdf,,,,,,
5626,"Borough of Wampum, Pennsylvania (Utility Company)",20070,Residential Rate,539fc29bec4f024c27d8b381,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc29bec4f024c27d8b381,Residential,,ISU Documentation Rate Binder Ted #12,,,,,,
5627,Algoma Utility Comm,307,Residential Service Single-Phase,55b91eb25457a3f005995e8c,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55b91eb25457a3f005995e8c,Residential,,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=50,,,,,,Single Phase
5628,"City of Riverside, California (Utility Company)",16088,Domestic TOU Tiered - Very Large Residence,539fc29cec4f024c27d8b3a9,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc29cec4f024c27d8b3a9,Residential,"* Applicability: Very Large Residence (400 Amp)
Applicable to qualified Single-Family Dwelling Units devoted primarily to domestic purposes where services include lighting, appliances, heating, cooking, power consuming appliances, and plug in electric vehicles. Eligible customers must sign an authorization/agreement form and exhibit exemplary utility payment history.",http://www.riversideca.gov/utilities/pdf/2013/Schedule_D-TOU-_Tiered-_effective_09-10-13.pdf,,,,,,
5629,Parkland Light & Water Company,14505,Residential Rate,55e9c00e5457a3092b8e8004,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55e9c00e5457a3092b8e8004,Residential,,http://www.plw.coop/rates.html,,,,,,
5631,"City of Helper, Utah (Utility Company)",8428,Residential,539fc2aeec4f024c27d8b3d1,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc2aeec4f024c27d8b3d1,Residential,,ISU Documentation,,,,,,
5632,"City of Sullivan, Illinois (Utility Company)",18277,Residential Electric Service- Outside City Limits,539fc2aeec4f024c27d8b3dd,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc2aeec4f024c27d8b3dd,Residential,,http://www.sullivanil.us/government.html,,,,,,
5634,Co-Mo Electric Coop Inc,4063,Residential Single-Phase Up To 200 Amps,539fc2aeec4f024c27d8b3e3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f72c1ec4f024411ecf4eb,Residential,"*applies to homes with up to a 200 Amp service
*100 kVa and under",http://www.co-mo.coop/busOurRates.aspx,,,,,,
5637,"City of Osawatomie, Kansas (Utility Company)",14203,Residential,539fc2aeec4f024c27d8b3f5,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f760aec4f024411ed1ab1,Residential,,http://www.osawatomieks.org/DocumentCenter/View/934,,,,,,
5640,"Village of Pardeeville, Wisconsin (Utility Company)",14451,Rg-1 Residential Service Three Phase,539fc2afec4f024c27d8b40b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2afec4f024c27d8b40b,Residential,Fixed Monthly Charge includes Commitment to Community Rider: $1.00 per customer per month,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=4530,,,,,,3-Phase
5641,"Town of West Boylston, Massachusetts (Utility Company)",20326,Residential,539fc2afec4f024c27d8b417,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2afec4f024c27d8b417,Residential,"Single phase service under this rate is furnished through one meter for all domestic purposes in individual private residences or individual apartments, where the service is used on a year round basis.",http://www.wbmlp.org/rates-terms-of-service/1-WBMLP-Residential-Rates_030114.pdf,,,,,,Single Phase
5642,"Village of Mazomanie, Wisconsin (Utility Company)",11895,Rg-1 Residential Service Single Phase,55b259bf5457a3db50912351,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55b259bf5457a3db50912351,Residential,Fixed Monthly Charge includes Commitment to Community Rider:$1.33 per customer per month.,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=3470,,,,,,Single Phase
5643,Northeastern Rural E M C,20603,SCHEDULE 10-1 RESIDENTIAL SERVICE,55783d4c5457a39d428ba375,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55783d4c5457a39d428ba375,Residential,,http://www.nremc.com/content/residential-rates,50,,,,,
5644,Henry County Rural E M C,8466,"Rate 101- General Service, single phase below 50 KVA",539fc2b0ec4f024c27d8b43f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc0b6ec4f024c27d89f5b,Residential,"Available to any member for single phase service located within the REMC's service areas located adjacent to a distribution line of the REMC that is adequate and suitable for supplying service for residential, churches and general farm use with a Maximum fifty (50) KVA transformation required. Service under this rate shall be provided on a yearly basis.
The type of service rendered under this rate shall be alternating current, sixty (60) Hertz, single phase at a voltage of approximately 120/240 volts three wire or such other voltage as might be mutually agreed upon.",http://henrycountyremc.coopwebbuilder.com/content/rate-101,,,,,Secondary,Single Phase
5645,Bancroft Municipal Utilities,1172,Schedule 1,539fc2b0ec4f024c27d8b441,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc2b0ec4f024c27d8b441,Residential,Schedule 1 applies to all permanent residential customers for normal residential services.,http://bancroftiowa.com/Utilities.htm,,,,,,
5646,"City of Westby, Wisconsin (Utility Company)",20434,Residential TOU(8am-8pm peak time),539fc2b0ec4f024c27d8b457,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc2b0ec4f024c27d8b457,Residential,"The Westby Electric Utility is municipally owned and is ""not for profit."" Westby Utilities offers customers low cost municipal electric rates and has recently completed an expansion and modern upgrade to the infrastructure of the entire electric utility. Westby Utilities installed a new substation and many new distribution lines in 2001. 

This rate is subject to the Power Cost Adjustment Clause.

On Peak has the option of being 7am-7pm, or 8am-8pm, or 9am-9pm.",http://www.westbyutilities.com/customer_services/default.asp?CategoryNumber=4,,,,,,
5647,Bear Valley Electric Service,17612,DM Monthly Domestic Multi-Family,539fc2b0ec4f024c27d8b463,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2b0ec4f024c27d8b463,Residential,"DOMESTIC SERVICE - MULTI-FAMILY ACCOMMODATION
APPLICABILITY
Applicable only to permanent residents of Bear Valley for separately metered single-phase
service to a multi-family accommodation on a single premise where all single-family accommodations
are not separately metered. This schedule is closed to new installations.
TERRITORY
Big Bear Lake and vicinity, San Bernardino County.",http://www.aswater.com/Organization/Rates_and_Regulations/Bear_Valley_Electric/SchDM.pdf,,,,,,
5649,A & N Electric Coop (Virginia),84,Farm and Home Service - Schedule A (Three Phase),539fc2b1ec4f024c27d8b473,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2b1ec4f024c27d8b473,Residential,"Available to Farm and Home Customers for all farm and home uses other than irrigation pumping loads, small schools, community halls, nursing homes (regular and seasonal) and all churches. 

Tiered Rates = Energy Delivery Charge + Supply Service Charge

Subject to wholesale power cost adjustment.",http://www.anec.com/yourbill/rate_pdfs/schedule_A_farm_and_home_service.pdf,50,,,,Secondary,3-Phase
5651,"City of Rock Falls, Illinois (Utility Company)",16198,Rate R (Residential),539fc2c0ec4f024c27d8b499,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb740ec4f024bc1dc09b7,Residential,"Note:

There is a power cost adjustment for all kWh, which is calculated each month.


The Flat rate buy figure that is entered here is the sum of the ""Power Supply"" charge ($.0646) and the ""Distribution Cost"" charge ($.0239).

The Flat rate Adjustments entered here is the ""Capital Cost Recovery"" charge.","rates attached to pdf

https://cas.sharepoint.illinoisstate.edu/grants/Sunshot/Lists/RATE%20UPDATE%20Data%20Entry/Attachments/1829/rock%20falls%202014.pdf",,,,,,
5652,"City of Ortonville, Minnesota (Utility Company)",14196,Residential- Rural,539fc2c0ec4f024c27d8b49f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2c0ec4f024c27d8b49f,Residential,,cityofortonville.com/wp-content/uploads/2011/10/Utility-Rates-2014-City-of-Ortonville.pdf,,,,,,
5653,PPL EnergyPlus LLC,28802,Rate NO. 1,576c16c05457a3db28d4b920,,kW,,http://en.openei.org/apps/USURDB/rate/view/576c16c05457a3db28d4b920,Residential,,http://www.lansingmi.gov/Lansing/clerk/BWL_Proposed.pdf,,,,,,
5654,"Town of Manilla, Iowa (Utility Company)",11568,Residential-Rural,539fc2c0ec4f024c27d8b4b5,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc2c0ec4f024c27d8b4b5,Residential,,Rate Binder#1B (Illinois State University),,,,,,
5655,Northwestern Wisconsin Elec Co,13815,Rural Residential Service Optional Time-of-Day Fg-2 Option A,539fc2c0ec4f024c27d8b4bd,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2c0ec4f024c27d8b4bd,Residential,"This rate will be applied, on an optional basis, to all residential customers who qualify for the Fg-1 rate. Customers choosing to be served on this rate schedule must remain on it for a minimum of a 12-month period and waive all rights to any billing adjustments arising from a claim that the bill for the customer's service would be cheaper on any alternative rate schedule for any period of time.",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=4280,,,,,,Single Phase
5656,"City of Cleveland, Tennessee (Utility Company)",3758,Residential -- schedule RS,539fc2c1ec4f024c27d8b4c3,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc2c1ec4f024c27d8b4c3,Residential,,http://www.clevelandutilities.com/PDF/2011JulyElectricRates.pdf,,,,,,
5663,"Village of Morrill, Nebraska (Utility Company)",12952,Residential,539fc2c3ec4f024c27d8b543,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc2c3ec4f024c27d8b543,Residential,,ISU Documentation (DOE Sharepoint),,,,,,
5664,"City of Springfield, Illinois (Utility Company)",17828,Regular Residential (Rate 30),539fc2c3ec4f024c27d8b549,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2c3ec4f024c27d8b549,Residential,"Available to residential customers in single-dwelling units with single phase service taken through a single meter for domestic use, where an energy source other than electricity is used as the primary source for home heating. The customer is responsible for a minimum bill equal to the customer charge.

* Higher summer rates are effective from May 15 to September 14, with winter rates in effect from September 15 to May 14.",http://www.cwlp.com/customer/rates/elecres.html,,,,,,
5666,Rock Rapids Municipal Utility,16206,Residential Power,539fc2d2ec4f024c27d8b559,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2d2ec4f024c27d8b559,Residential,Residential Power,http://www.rockrapids.net/html/utility_rates.html,,,,,,
5668,Intermountain Rural Elec Assn,9336,Residential Incorporated City or Town Service- Demand Metered (CSD),539fc2d2ec4f024c27d8b55f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2d2ec4f024c27d8b55f,Residential,,ISU Documentation,,,,,,
5669,"Village of Hazel Green, Wisconsin (Utility Company)",8336,Rg-1 Residential Service Single Phase,539fc2d2ec4f024c27d8b569,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2d2ec4f024c27d8b569,Residential,Fixed Monthly Charge includes Commitment to Community Program Rider: $1.33 per customer per month,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=2510,,,,,,Single Phase
5670,"City of Olive Hill, Kentucky (Utility Company)",14103,Residential Electric Service,539fc2d2ec4f024c27d8b573,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2d2ec4f024c27d8b573,Residential,Power Cost Adjustment may apply,ISU Document,,,,,,
5672,"Consumers Power, Inc",4743,Three-Phase Residential Service (Schedule 7),539fc2d2ec4f024c27d8b581,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2d2ec4f024c27d8b581,Residential,"Applicable to residential customers who require three-phase and whose single-phase requirements are or will be supplied under schedule 4, Residential  service .",ISU Documentation,,,,,,
5676,Progress Energy Carolinas Inc,3046,Residential Time of Use (R-TOU-36) - Three Phase,56cbab5d5457a3c847fd6d38,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/56cbab5d5457a3c847fd6d38,Residential,,https://www.duke-energy.com/pdfs/R2-NC-Schedule-R-TOUD-dep.pdf,,,,,,3-Phase
5685,Wisconsin Dells Electric Util,20844,Residential Service- Single Phase,55ba6f5a5457a3b94c995e97,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55ba6f5a5457a3b94c995e97,Residential,"This rate will be applied to residential single and three phase customers for ordinary household purposes.  Single Phase motors may not exceed 5 HP.
Additionally there is a power cost adjustment charge added to the energy charge, which varies monthly.",ISU Documentation,,,,,,
5686,"HILCO Electric Cooperative, Inc.",8620,Residential,539fc2e4ec4f024c27d8b621,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6accec4f024411ec9483,Residential,Subject to Power Cost Recovery Factor x kWh,http://www.hilco.coop/Engineering%20Forms/HEC%20Rate%20Sheet.pdf,,,,,,
5687,Kissimmee Utility Authority,10376,RESIDENTIAL SERVICE,539fc2e4ec4f024c27d8b637,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc2e4ec4f024c27d8b637,Residential,"RESIDENTIAL SERVICE (RS)- Single Phase

*FUEL/CONSERVATION ADJUSTMENT - Cost of Power and Conservation
Adjustment (COPCA) and other applicable charges.",http://www.kua.com/Rates/2011-Electric-Rates.pdf,,,,,,
5689,"Village of Winnetka, Illinois (Utility Company)",20824,Rate 1- Residential: Three Phase,539fc2e5ec4f024c27d8b651,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2e5ec4f024c27d8b651,Residential,"Note:

""The Village does not include any additional riders (adders) such as ""Franchise Costs"", Distribution Charges, Municipal Tax, Environmental Cost Recovery, Energy Efficiency Programs, etc. for electric service.""


A Wholesale Power Purchase Cost Adjustment is calculated once per year. The WPPCA is then prorated among all classes.",http://www.villageofwinnetka.org/departments/water-and-electric/,,,,,Secondary,3-Phase
5690,"City of Richland, Missouri (Utility Company)",15981,Residential- Out-Town,539fc2e5ec4f024c27d8b655,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc445ec4f024c27d8c4f1,Residential,Fixed monthly charge includes first 25 kWh of energy.,http://richlandmo.info/electric-rates/,,,,,,
5691,Powder River Energy Corporation,19156,RESIDENTIAL HEAT RATE (RHR) - Over 200 amps,539fc2e5ec4f024c27d8b65b,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc2e5ec4f024c27d8b65b,Residential,"Residential Heat Rate (RHR)
Over 200 amps 

* Applicable to Residential customers of the Corporation who have permanent electric resistance heat and/or electric heat pump space heating systems. This rate is not available to seasonal loads. This rate is not available to Residential of Day (TOD) customers.
* Customers taking electric service under this rate schedule must have Corporation approved meter installations and any additional equipment required by the Corporation necessary to meter the electric heat installation loads identified above separately from other loads.
* Rate buy (Oct-Apr)($0.02598) = Energy Charge ($0.05352) - Heat Credit ($0.02754)
* Rate buy (May-Sept) = Energy Charge ($0.05352)
* Adjustments = the Cost of Power Adjustment (COPA) 2012 ($0.009635)",http://precorp.coop/tariff-rate-rider-2/,,,,,,
5693,"City of Eagle River, Wisconsin (Utility Company)",5551,Rg-2 Residential Service Single Phase -  Optional Time-of-Day 7am-7pm,539fc2e5ec4f024c27d8b65f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2e5ec4f024c27d8b65f,Residential,Commitment to Community Program Rider - Rg-2 Residential Service Optional TOD 3.0% of the total electric bill not to exceed $1.48,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=1710,,,,,,Single Phase
5696,"City of Lyons, Nebraska (Utility Company)",11372,RES EL 11,539fc2e6ec4f024c27d8b693,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc2e6ec4f024c27d8b693,Residential,,ISU Documentation (DOE Sharepoint),,,,,,
5699,"Village of Trempealeau, Wisconsin (Utility Company)",19114,Residential Time-of-Day Single Phase,539fc2e6ec4f024c27d8b6af,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2e6ec4f024c27d8b6af,Residential,"Optional; subject to Power Cost Adjustment Clause
customers have the option of choosing between three on-peak periods: (7am-7pm), (8am-8pm), (9am-9pm)",ISU Documentation,,,,,,Single Phase
5704,"City of Sutton, Nebraska (Utility Company)",18354,RESIDENTIAL SERVICE,539fc2f9ec4f024c27d8b6ed,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc2f9ec4f024c27d8b6ed,Residential,"The city of Sutton shall charge the following monthly electrical use charges as authorized  in chapter XVII, title 5, public works of the Municipal Code of Sutton and specifically section 15-50.54.",ISU Documentation,,,,,,
5705,"Town of Oak City, North Carolina (Utility Company)",13931,Residential Electric Service,539fc2faec4f024c27d8b6fb,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fc2faec4f024c27d8b6fb,Residential,,ISU Documentation,,,,,,
5706,"Town of Crane, Indiana (Utility Company)",4486,Electric Rate Residential,539fc2faec4f024c27d8b6fd,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2faec4f024c27d8b6fd,Residential,The rate is subject to a Purchased Power Cost Adjustment Tracking Factor. This Adjustment changes on a monthly basis.,"Rates Binder 1, Illinois State University",,,,,,
